sold_both_auction_private_treaty_medianprice, sold_both_auction_private_treaty_averageprice, dateyear, propertycategorisation, for_sale_both_auction_private_treaty_averageprice, datemonth, sa42016code, sa42016name, for_sale_both_auction_private_treaty_medianprice
680000.0,757181.1,2019,"House",753418.0,12,801,"Australian Capital Territory",669900.0
510000.0,560777.8,2019,"House",591965.2,12,101,"Capital Region",539000.0
620000.0,697127.8,2019,"House",683657.1,12,102,"Central Coast",600000.0
390000.0,419318.0,2019,"House",434863.9,12,103,"Central West",399000.0
475000.0,518895.8,2019,"House",559290.6,12,104,"Coffs Harbour - Grafton",499000.0
297500.0,309458.9,2019,"House",280004.8,12,105,"Far West And Orana",250000.0
462500.0,511705.0,2019,"House",499728.8,12,106,"Hunter Valley Exc Newcastle",470000.0
675000.0,749421.1,2019,"House",733173.0,12,107,"Illawarra",664400.0
470000.0,513197.8,2019,"House",527778.8,12,108,"Mid North Coast",491181.0
340000.0,381117.0,2019,"House",371632.9,12,109,"Murray",345390.5
320000.0,350360.3,2019,"House",358241.2,12,110,"New England And North West",324011.5
590000.0,662481.3,2019,"House",650953.5,12,111,"Newcastle And Lake Macquarie",580000.0
585000.0,678334.3,2019,"House",717310.7,12,112,"Richmond - Tweed",594500.0
350000.0,385465.1,2019,"House",376940.3,12,113,"Riverina",349000.0
601000.0,718696.4,2019,"House",770672.2,12,114,"Southern Highlands And Shoalhaven",649000.0
1160000.0,1254293.0,2019,"House",1151565.0,12,115,"Sydney - Baulkham Hills And Hawkesbury",975000.0
708500.0,742118.0,2019,"House",750084.9,12,116,"Sydney - Blacktown",715950.0
1407500.0,1555357.0,2019,"House",1784516.0,12,117,"Sydney - City And Inner South",1450000.0
2480000.0,3166344.0,2019,"House",4135687.0,12,118,"Sydney - Eastern Suburbs",2500000.0
960500.0,1087995.0,2019,"House",1096604.0,12,119,"Sydney - Inner South West",949000.0
1646500.0,1852297.0,2019,"House",1894270.0,12,120,"Sydney - Inner West",1600000.0
2000000.0,2396716.0,2019,"House",2490476.0,12,121,"Sydney - North Sydney And Hornsby",1820000.0
1738000.0,2073059.0,2019,"House",2285198.0,12,122,"Sydney - Northern Beaches",1700000.0
640000.0,682298.1,2019,"House",714241.4,12,123,"Sydney - Outer South West",655000.0
645000.0,684641.3,2019,"House",711673.1,12,124,"Sydney - Outer West And Blue Mountains",649900.0
860000.0,944513.8,2019,"House",963594.1,12,125,"Sydney - Parramatta",835000.0
1521050.0,1743914.0,2019,"House",1753735.0,12,126,"Sydney - Ryde",1410000.0
735000.0,792526.4,2019,"House",842687.4,12,127,"Sydney - South West",719000.0
1095000.0,1245382.0,2019,"House",1270381.0,12,128,"Sydney - Sutherland",1080000.0
480000.0,524755.6,2019,"House",572963.4,12,701,"Darwin",528500.0
407750.0,438280.5,2019,"House",447009.4,12,702,"Northern Territory - Outback",419000.0
565000.0,644330.3,2019,"House",605703.4,12,301,"Brisbane - East",549000.0
585000.0,635528.8,2019,"House",622919.3,12,302,"Brisbane - North",594400.0
686000.0,760434.5,2019,"House",714952.8,12,303,"Brisbane - South",650000.0
720000.0,841579.4,2019,"House",893794.6,12,304,"Brisbane - West",700000.0
960000.0,1136793.0,2019,"House",1192115.0,12,305,"Brisbane Inner City",950000.0
410000.0,447266.1,2019,"House",466883.4,12,306,"Cairns",400000.0
315000.0,344755.0,2019,"House",358012.0,12,308,"Central Queensland",319000.0
272500.0,304026.5,2019,"House",300712.4,12,307,"Darling Downs - Maranoa",269000.0
640000.0,788214.8,2019,"House",794419.8,12,309,"Gold Coast",603488.0
420000.0,457136.2,2019,"House",429950.6,12,310,"Ipswich",399000.0
450000.0,501253.3,2019,"House",470661.1,12,311,"Logan - Beaudesert",425000.0
360000.0,389081.4,2019,"House",408626.5,12,312,"MacKay - Isaac - Whitsunday",375000.0
450000.0,508779.3,2019,"House",502285.2,12,313,"Moreton Bay - North",450000.0
506125.0,552551.9,2019,"House",545989.9,12,314,"Moreton Bay - South",499000.0
245000.0,288899.2,2019,"House",404630.8,12,315,"Queensland - Outback",249750.0
620000.0,733035.3,2019,"House",727549.9,12,316,"Sunshine Coast",599000.0
385000.0,438350.0,2019,"House",479218.3,12,317,"Toowoomba",389601.0
320000.0,350269.8,2019,"House",350612.2,12,318,"Townsville",320764.5
315000.0,337269.2,2019,"House",348313.7,12,319,"Wide Bay",320000.0
658750.0,761265.8,2019,"House",733261.3,12,401,"Adelaide - Central And Hills",599000.0
375000.0,394115.2,2019,"House",379219.4,12,402,"Adelaide - North",365000.0
475000.0,538014.8,2019,"House",521170.3,12,403,"Adelaide - South",449000.0
530000.0,569083.5,2019,"House",561175.9,12,404,"Adelaide - West",500000.0
300000.0,324239.8,2019,"House",286676.1,12,405,"Barossa - Yorke - Mid North",268000.0
295000.0,328969.4,2019,"House",285893.6,12,406,"South Australia - Outback",250000.0
320000.0,357032.4,2019,"House",348164.6,12,407,"South Australia - South East",310000.0
465000.0,523196.0,2019,"House",535963.8,12,601,"Hobart",475000.0
330000.0,358605.2,2019,"House",386356.0,12,602,"Launceston And North East",349000.0
360000.0,401425.8,2019,"House",458037.4,12,603,"South East",395000.0
279000.0,304427.8,2019,"House",333037.4,12,604,"West And North West",295000.0
401050.0,455298.7,2019,"House",462518.3,12,201,"Ballarat",401972.5
400000.0,455679.8,2019,"House",457457.0,12,202,"Bendigo",395000.0
574500.0,662180.8,2019,"House",652225.8,12,203,"Geelong",549429.0
367500.0,400134.8,2019,"House",437892.1,12,204,"Hume",398464.0
365000.0,397615.7,2019,"House",427787.8,12,205,"Latrobe - Gippsland",390000.0
1230000.0,1475448.0,2019,"House",1663496.0,12,206,"Melbourne - Inner",1200000.0
1359000.0,1627276.0,2019,"House",1728107.0,12,207,"Melbourne - Inner East",1350000.0
1250000.0,1450527.0,2019,"House",1485848.0,12,208,"Melbourne - Inner South",1195000.0
699950.0,781354.8,2019,"House",685384.8,12,209,"Melbourne - North East",590000.0
620000.0,693734.1,2019,"House",792107.6,12,210,"Melbourne - North West",550000.0
745000.0,817460.6,2019,"House",806999.5,12,211,"Melbourne - Outer East",700000.0
640000.0,756278.9,2019,"House",646730.3,12,212,"Melbourne - South East",570000.0
595000.0,656205.3,2019,"House",580386.9,12,213,"Melbourne - West",540000.0
690000.0,862545.1,2019,"House",890357.7,12,214,"Mornington Peninsula",679000.0
275000.0,301070.9,2019,"House",275035.9,12,215,"North West",249000.0
320000.0,349234.1,2019,"House",361366.1,12,216,"Shepparton",335000.0
345000.0,395781.5,2019,"House",427551.1,12,217,"Warrnambool And South West",350000.0
390000.0,457419.8,2019,"House",465934.8,12,501,"Bunbury",399000.0
375000.0,433002.0,2019,"House",426454.1,12,502,"Mandurah",365000.0
880000.0,1087359.0,2019,"House",1179673.0,12,503,"Perth - Inner",899000.0
435000.0,468780.3,2019,"House",466932.5,12,504,"Perth - North East",419900.0
520000.0,578225.1,2019,"House",570121.3,12,505,"Perth - North West",479000.0
455000.0,524855.0,2019,"House",506062.9,12,506,"Perth - South East",429508.0
489500.0,590990.9,2019,"House",558393.8,12,507,"Perth - South West",444844.0
350000.0,381129.5,2019,"House",389453.2,12,510,"Western Australia - Outback (North)",345000.0
315000.0,342782.1,2019,"House",356072.7,12,511,"Western Australia - Outback (South)",315000.0
355000.0,383862.2,2019,"House",374705.2,12,509,"Western Australia - Wheat Belt",339000.0
