sold_both_auction_private_treaty_medianprice, sold_both_auction_private_treaty_averageprice, sa22016code, dateyear, propertycategorisation, state, for_sale_both_auction_private_treaty_averageprice, datemonth, for_sale_both_auction_private_treaty_medianprice
1635000,1920213,206071145,2021,House,VIC,1639640,12,1550000
665000,723607.6,211051286,2021,House,VIC,702592.4,12,620000
1162500,1231692,213031352,2021,House,VIC,1109403,12,1050000
1290000,1351612,206071139,2021,House,VIC,1325109,12,1297000
905000,907390.5,210011226,2021,House,VIC,858059.8,12,800000
2505000,3075778,206051128,2021,House,VIC,2801598,12,2425000
1570000,1709185,206021110,2021,House,VIC,1443474,12,1300000
1115000,1197896,213021341,2021,House,VIC,1107772,12,985000
710000,722988.3,213021342,2021,House,VIC,694227.2,12,680000
890000,925975.7,213021343,2021,House,VIC,851423.3,12,820000
706250,720324.6,213011328,2021,House,VIC,617896.4,12,615000
2550000,3113937,206061135,2021,House,VIC,3177117,12,2400000
1225000,1360438,206031113,2021,House,VIC,1232010,12,1080000
1890000,1957054,207011146,2021,House,VIC,1716209,12,1595000
1232000,1266256,212051319,2021,House,VIC,1177858,12,1100000
1280000,1288359,208031183,2021,House,VIC,1198786,12,1185000
600000,661527.1,213041353,2021,House,VIC,624444.9,12,555500
2700000,2800948,207011147,2021,House,VIC,2684878,12,2400000
2200000,2376852,207011148,2021,House,VIC,2200985,12,1900000
845000,842635.2,211011251,2021,House,VIC,818764.3,12,750000
840300,858580.6,211031263,2021,House,VIC,790553.3,12,750000
640000,725873.1,212011287,2021,House,VIC,649721.9,12,613200
2030000,2211778,208011168,2021,House,VIC,2121164,12,1900000
886500,987745.7,211051274,2021,House,VIC,930659.5,12,792500
1705000,1714409,208021174,2021,House,VIC,1532112,12,1550000
1473000,1494484,208021426,2021,House,VIC,1335561,12,1300000
1405000,1428313,208021427,2021,House,VIC,1288076,12,1300000
875000,1033731,212021293,2021,House,VIC,838652.5,12,730800
799000,815088.3,212021294,2021,House,VIC,748500.7,12,738000
1400000,1470124,207031161,2021,House,VIC,1321165,12,1200000
1300000,1330291,207031162,2021,House,VIC,1132945,12,1100000
796000,811856.8,211011446,2021,House,VIC,738834.7,12,720000
1460000,1489196,207031163,2021,House,VIC,1351574,12,1275000
1393000,1459054,207031164,2021,House,VIC,1350849,12,1270000
null,null,208031184,2021,House,VIC,6300000,12,null
742000,780329.3,213031347,2021,House,VIC,734529.6,12,700000
3115000,3889671,208011169,2021,House,VIC,3768378,12,2900000
2150000,2285629,208011170,2021,House,VIC,2082165,12,1895000
570000,558145.8,210051242,2021,House,VIC,522753.6,12,530000
1285000,1304751,206011105,2021,House,VIC,1137254,12,1100000
1222500,1293525,206011106,2021,House,VIC,1110294,12,1000000
1010000,1086227,206011107,2021,House,VIC,982896.6,12,900000
1325000,1388397,207021156,2021,House,VIC,1250231,12,1190000
870000,915695.4,209011196,2021,House,VIC,812135.6,12,740000
838500,948636.4,209041216,2021,House,VIC,858308.8,12,780000
830000,862237.7,209041217,2021,House,VIC,750478.5,12,735000
730000,837954.4,212011288,2021,House,VIC,794322.8,12,678450
730000,766134.6,213041461,2021,House,VIC,739677.6,12,738349
700500,748678.4,213041462,2021,House,VIC,679776.2,12,650000
1320000,1360616,207031165,2021,House,VIC,1337623,12,1199500
1230000,1278346,207031166,2021,House,VIC,1097153,12,1100000
840000,855328.6,213011329,2021,House,VIC,797173.4,12,770000
2425000,2673473,207011149,2021,House,VIC,2460362,12,2100000
535000,546418.8,210051243,2021,House,VIC,517849.3,12,500000
1492500,1790537,206041117,2021,House,VIC,1313048,12,1277500
1730000,1999446,206071140,2021,House,VIC,1922138,12,1500000
1652000,1617590,208021176,2021,House,VIC,1349423,12,1320000
720000,777623.8,213041463,2021,House,VIC,727823.8,12,690000
996000,1185607,208031185,2021,House,VIC,1142518,12,942500
656000,654640.1,214011370,2021,House,VIC,608567.2,12,600000
2300000,2553261,208021177,2021,House,VIC,2356591,12,1800000
1870000,1946756,208021178,2021,House,VIC,1595432,12,1600000
955000,1078049,208031186,2021,House,VIC,1009329,12,892500
957500,998307.1,208031187,2021,House,VIC,859886.1,12,860000
1160000,1153418,208031188,2021,House,VIC,1020025,12,1000000
1498000,1483372,208011171,2021,House,VIC,1265894,12,1250000
null,null,210051248,2021,House,VIC,null,12,null
875000,930763.1,211051275,2021,House,VIC,858914.4,12,800000
1050000,1114977,212041309,2021,House,VIC,1034300,12,930000
1044000,1073378,212051320,2021,House,VIC,1140845,12,950000
888900,906068.8,212041310,2021,House,VIC,852844,12,830000
1165000,1171754,206011108,2021,House,VIC,1027968,12,995000
925500,951237.9,210031236,2021,House,VIC,884397.4,12,800000
1238750,1320103,206071141,2021,House,VIC,1169477,12,1100000
600000,591687.8,210051441,2021,House,VIC,554602.8,12,547000
620000,625783.7,210051442,2021,House,VIC,576946.8,12,552500
600500,624183.3,210051443,2021,House,VIC,576692.4,12,568150
615000,621489.6,210051444,2021,House,VIC,571999.8,12,560000
600000,632815.9,212031300,2021,House,VIC,590138.7,12,560000
667250,696227.6,212031301,2021,House,VIC,635132.5,12,615000
650000,674742.7,212031302,2021,House,VIC,626945.1,12,610000
710000,796537.6,212031303,2021,House,VIC,638306.8,12,603380
620000,637938.3,212031304,2021,House,VIC,610401.6,12,590000
803150,840706.2,211031450,2021,House,VIC,761005.2,12,740000
911500,988774.8,211031451,2021,House,VIC,906558.4,12,832500
1061750,1104591,211031265,2021,House,VIC,992209.3,12,950000
890000,933957.8,211031452,2021,House,VIC,824361.3,12,790000
610000,651213.2,212041311,2021,House,VIC,602907.4,12,576000
709000,720960.4,212041312,2021,House,VIC,694016.4,12,650000
645000,655580.1,213011330,2021,House,VIC,613447.4,12,600000
645000,646482.5,213011331,2021,House,VIC,565676.1,12,580000
1028000,1073263,212041313,2021,House,VIC,966053.3,12,920000
1177500,1641929,206041118,2021,House,VIC,1692089,12,1390000
1430000,1452032,207021157,2021,House,VIC,1368033,12,1300000
1500000,1522355,207021424,2021,House,VIC,1314355,12,1290000
1415888,1383884,207021425,2021,House,VIC,1236816,12,1200000
1583000,1765240,211021261,2021,House,VIC,1748198,12,1500000
706225,770955.8,209041430,2021,House,VIC,683952.1,12,630000
585250,589988.5,212021295,2021,House,VIC,565581.6,12,550000
980000,1190108,214021377,2021,House,VIC,1150897,12,905000
2850000,3195801,206041119,2021,House,VIC,3972408,12,3500000
1215000,1294164,208031189,2021,House,VIC,1152817,12,1090000
2100000,2081734,208021179,2021,House,VIC,1784056,12,1725000
1202500,1255303,209031209,2021,House,VIC,1150032,12,1100000
2215000,2439927,206051129,2021,House,VIC,2119725,12,1912500
877500,970651.2,212011289,2021,House,VIC,897008.1,12,792500
740000,813656.3,212021453,2021,House,VIC,803981.2,12,690000
750000,782151.6,212021454,2021,House,VIC,745774.5,12,700000
645000,665326.2,209041431,2021,House,VIC,607495,12,586711
671050,673222.7,209041432,2021,House,VIC,614962.5,12,580000
635000,662651.7,209041433,2021,House,VIC,603996.4,12,592500
1589500,1685608,206031114,2021,House,VIC,1533496,12,1350000
770000,765976,210031237,2021,House,VIC,694779.6,12,700000
820000,847758.8,211011447,2021,House,VIC,821077.8,12,720000
873000,896150.1,211011448,2021,House,VIC,775670.7,12,755000
1437500,1724123,206071142,2021,House,VIC,1480779,12,1295000
1624000,1824386,206071143,2021,House,VIC,1541685,12,1400000
1305000,1408523,206031115,2021,House,VIC,1279155,12,1080000
null,498000,206041120,2021,House,VIC,435000,12,null
2675000,3207336,214021378,2021,House,VIC,3859447,12,2500000
943000,970049.1,213031348,2021,House,VIC,864991.9,12,840000
1141750,1193572,211041269,2021,House,VIC,1146569,12,1010000
777000,828024.4,214011371,2021,House,VIC,753189.4,12,695000
645000,653590.9,214011372,2021,House,VIC,591256.4,12,590000
1103500,1230470,214011373,2021,House,VIC,1179485,12,990000
966000,1139339,210021232,2021,House,VIC,911755.8,12,740000
720000,750522.8,210051245,2021,House,VIC,684943.4,12,645000
2450000,2519120,207011150,2021,House,VIC,2200843,12,2150000
1541000,1663727,212051321,2021,House,VIC,1626899,12,1400000
1540000,1675038,212051322,2021,House,VIC,1602908,12,1410000
710000,739181,210031438,2021,House,VIC,635007.1,12,600000
775500,843000,210031439,2021,House,VIC,923761.9,12,905000
985000,1031165,209011197,2021,House,VIC,900776.8,12,850000
835000,926689.8,210051246,2021,House,VIC,725688.2,12,680000
800000,793225.3,210031440,2021,House,VIC,697914.5,12,690000
680000,683268.3,212021297,2021,House,VIC,643790.4,12,650000
1942500,2237264,208011172,2021,House,VIC,1986368,12,1700000
612550,613638.5,212031305,2021,House,VIC,585692.1,12,580000
741000,1014059,214021379,2021,House,VIC,961982.4,12,689500
2575000,3260939,207011151,2021,House,VIC,3317602,12,2200000
2285000,2730950,207011152,2021,House,VIC,2491349,12,2147500
775000,908873.2,211051276,2021,House,VIC,863081.3,12,700000
1325000,1343074,209011198,2021,House,VIC,1190351,12,1100000
850000,908319.6,209011199,2021,House,VIC,833815.5,12,772500
700000,728746.6,213041355,2021,House,VIC,571468.9,12,570900
590000,674253.6,213051361,2021,House,VIC,628300.4,12,550000
585000,585291.3,213051362,2021,House,VIC,540414,12,530000
1414500,1445764,208021180,2021,House,VIC,1312904,12,1235000
910000,1051123,209031210,2021,House,VIC,973327.6,12,855000
1560000,1784915,209011200,2021,House,VIC,1533563,12,1335000
2240000,2491579,209011201,2021,House,VIC,2177423,12,2100000
950000,1070595,210011228,2021,House,VIC,994701.1,12,840000
738500,756037.1,213011332,2021,House,VIC,674650.3,12,650000
955000,998958.5,210011229,2021,House,VIC,921545.2,12,830000
1100000,1185886,206041121,2021,House,VIC,1055857,12,980000
2510000,2866773,207011153,2021,House,VIC,2919729,12,2300000
2050000,2156479,207011154,2021,House,VIC,1875745,12,1715000
890000,995793.2,212041314,2021,House,VIC,963136.4,12,880000
752525,828754.1,211051277,2021,House,VIC,768046.2,12,695000
745000,867346.1,209031211,2021,House,VIC,883639.1,12,735000
610000,621518,213011333,2021,House,VIC,576698.6,12,575000
866000,1013390,209021205,2021,House,VIC,910611.1,12,800000
954000,992107.2,211011254,2021,House,VIC,850211.6,12,820000
640000,689603.9,212011290,2021,House,VIC,607727.5,12,573665
700000,724612.2,209041219,2021,House,VIC,689137.8,12,640000
800000,868897,214011374,2021,House,VIC,790881.9,12,720000
650000,688990.6,213051363,2021,House,VIC,645418,12,600000
830719,908467.9,211051278,2021,House,VIC,818949.4,12,760000
768000,813145.6,212031306,2021,House,VIC,743373.1,12,720000
1145001,1263387,211011255,2021,House,VIC,1259047,12,1090000
1340000,1818769,210021233,2021,House,VIC,1910116,12,1540000
2650000,2942333,208041194,2021,House,VIC,2517406,12,2000000
1980000,2355285,208041195,2021,House,VIC,1983816,12,1645875
1024000,1121350,213031349,2021,House,VIC,1023623,12,900000
550000,555258.5,210051247,2021,House,VIC,531985.8,12,500000
457000,1131636,206041122,2021,House,VIC,759294,12,600350
470000,542481.6,213041356,2021,House,VIC,537296.7,12,469000
525000,548913.4,213041357,2021,House,VIC,506304.3,12,499224
525000,532741.5,213041358,2021,House,VIC,504443.4,12,489000
1245000,1360861,208031190,2021,House,VIC,1186726,12,1080000
655000,678491,209041434,2021,House,VIC,631814.6,12,600000
620000,709360.9,210051445,2021,House,VIC,578739.9,12,553693
760000,810509.3,209041220,2021,House,VIC,748096.2,12,697500
765000,796663.8,209041221,2021,House,VIC,695246.3,12,659800
1160000,1220557,211041270,2021,House,VIC,1087467,12,1050000
872000,1025387,211051279,2021,House,VIC,970103.4,12,800000
1075000,1213838,209011202,2021,House,VIC,1112072,12,950000
850000,970676.9,211051280,2021,House,VIC,918982.1,12,787500
1475000,1653519,206031116,2021,House,VIC,1531712,12,1300000
1277888,1263718,208031191,2021,House,VIC,1207526,12,1150000
815000,867344.1,211051281,2021,House,VIC,794769.4,12,740000
1349750,1384716,208031193,2021,House,VIC,1195998,12,1100000
1087500,1261853,214021380,2021,House,VIC,1264710,12,1005000
980000,1075341,211051282,2021,House,VIC,1045210,12,900000
1704100,1953310,214021381,2021,House,VIC,4331439,12,1750000
825000,904837.7,211051283,2021,House,VIC,803691.8,12,740000
1490000,1751983,214021382,2021,House,VIC,1768073,12,1450000
1502500,1576845,212051323,2021,House,VIC,1424443,12,1300000
1395000,1482968,212051324,2021,House,VIC,1398471,12,1280000
987750,1028527,212051325,2021,House,VIC,884942.8,12,860000
1637250,1640341,208021181,2021,House,VIC,1413455,12,1350000
740000,760831.9,212021455,2021,House,VIC,709308.8,12,690000
670000,680132.9,212021456,2021,House,VIC,642936.6,12,620000
1517500,1672160,212021299,2021,House,VIC,1731073,12,1550000
838250,869460.4,212031457,2021,House,VIC,841434.9,12,790000
705000,756589.5,212031458,2021,House,VIC,717612.6,12,670000
1185250,1252935,213021344,2021,House,VIC,1120201,12,1075000
1155000,1176612,210011230,2021,House,VIC,1068406,12,1000000
660000,685498.9,212041459,2021,House,VIC,615819.8,12,600000
700000,698354.8,212041460,2021,House,VIC,637835,12,647000
755000,763781.5,212041316,2021,House,VIC,690669.6,12,680000
1211500,1309168,206041123,2021,House,VIC,1449859,12,1197500
1668750,1778977,206021111,2021,House,VIC,1576473,12,1460000
1188000,1235235,211041271,2021,House,VIC,1074218,12,1000000
1200000,1202815,212051326,2021,House,VIC,1080748,12,1050000
1750000,1724351,208021182,2021,House,VIC,1445426,12,1500000
590000,617223,212011291,2021,House,VIC,578656.5,12,550000
605000,629199.2,212011292,2021,House,VIC,610753.2,12,570000
1210000,1267858,209031212,2021,House,VIC,1293433,12,1200000
1547000,1786977,206041124,2021,House,VIC,1889889,12,1487500
835000,895022.8,210031239,2021,House,VIC,802014.5,12,750000
1215000,1207618,206011109,2021,House,VIC,1043909,12,1000000
740000,815343.8,212031308,2021,House,VIC,799937.4,12,700000
1230000,1328593,209031213,2021,House,VIC,1309433,12,1100000
700000,791502.9,213051464,2021,House,VIC,761341.2,12,682500
738000,742660.3,213051465,2021,House,VIC,717281.9,12,700000
732500,765429.3,213051466,2021,House,VIC,759632.9,12,700000
1390000,1822187,214021383,2021,House,VIC,1678025,12,1250000
1810000,1918247,206051130,2021,House,VIC,1692839,12,1600000
null,1175000,206051131,2021,House,VIC,1716533,12,null
1720000,1929520,206061136,2021,House,VIC,1699590,12,1462500
1142000,1122066,209021428,2021,House,VIC,1010944,12,949000
1200000,1226079,209021429,2021,House,VIC,1049712,12,1000000
1370000,1525440,209031214,2021,House,VIC,1452760,12,1300000
807500,859345.2,209021207,2021,House,VIC,752182.9,12,700000
915000,940806,209021208,2021,House,VIC,839125.9,12,790000
1410000,1598100,206071144,2021,House,VIC,1480460,12,1340225
965000,1059081,210021234,2021,House,VIC,976084.3,12,880000
980000,1020743,211031266,2021,House,VIC,969548.1,12,880000
1010000,1061395,211031267,2021,House,VIC,932052.9,12,897500
1161000,1254542,211031268,2021,House,VIC,1150119,12,1050000
616500,631545.1,213041359,2021,House,VIC,533458.9,12,529961
810000,951167.7,210021235,2021,House,VIC,887851.8,12,750000
834900,933739.6,214021384,2021,House,VIC,872948.1,12,775000
930000,970829.1,211011256,2021,House,VIC,894184.6,12,817575
1005250,1045038,211011257,2021,House,VIC,927276.8,12,892500
1056500,1108451,211011258,2021,House,VIC,986419.8,12,930000
613250,618556.5,210051249,2021,House,VIC,604349.3,12,582500
2250000,2378287,208011173,2021,House,VIC,2105307,12,1900000
730000,731311.6,213021345,2021,House,VIC,693123.4,12,695000
825250,855489.2,214011375,2021,House,VIC,763948.4,12,750000
1180000,1177851,213031350,2021,House,VIC,1029292,12,990000
815000,862684.8,214011376,2021,House,VIC,801800.9,12,745000
770000,878937.6,214021385,2021,House,VIC,767359.7,12,702300
1737500,2039703,206051132,2021,House,VIC,1794219,12,1525000
735000,790998.1,209041435,2021,House,VIC,709446.7,12,640000
720000,739904.6,209041436,2021,House,VIC,641240.1,12,574350
2125000,2862723,206061137,2021,House,VIC,2411020,12,1900000
2785000,3234576,206041125,2021,House,VIC,2740167,12,1825000
675000,916965.8,206041126,2021,House,VIC,895038.1,12,580000
777250,799545.6,212041317,2021,House,VIC,750867.8,12,712500
770000,739569.3,212041318,2021,House,VIC,684414.1,12,700000
669500,682395.8,213011334,2021,House,VIC,654083.8,12,620000
671000,694683.4,213011335,2021,House,VIC,656879.4,12,620000
1740000,2259442,206051133,2021,House,VIC,1889177,12,1500000
1562500,1672557,206051134,2021,House,VIC,1357583,12,1387500
1500000,1570196,210011231,2021,House,VIC,1409494,12,1297500
685000,801956.9,210041240,2021,House,VIC,877522.9,12,665000
625000,663944.9,210041241,2021,House,VIC,567075.8,12,550000
865000,885815.1,213011336,2021,House,VIC,777293.7,12,750000
695000,716664.8,213011337,2021,House,VIC,693632.4,12,685000
701000,727591.1,213011338,2021,House,VIC,677615.1,12,650000
2021888,2114474,207031167,2021,House,VIC,1942281,12,1837500
2780000,3125629,207011155,2021,House,VIC,3031290,12,2500000
620000,634412.4,213011339,2021,House,VIC,576886.2,12,549000
600000,615289.3,213051365,2021,House,VIC,562859.9,12,555000
743750,771856.8,213041360,2021,House,VIC,695877,12,690000
881000,937834.6,213011340,2021,House,VIC,806982.5,12,780000
1610500,1816276,207021159,2021,House,VIC,1805045,12,1500000
1360000,1356406,207021160,2021,House,VIC,1244871,12,1250000
904000,951051.5,211011449,2021,House,VIC,915285.3,12,750000
718500,729035.9,209041223,2021,House,VIC,687791.6,12,650000
1388000,1404294,206021112,2021,House,VIC,1227554,12,1250000
5087500,6442261,206061138,2021,House,VIC,6973788,12,5500000
619000,631971.4,213051366,2021,House,VIC,571018.8,12,561200
750000,753123.2,210051250,2021,House,VIC,636931.5,12,622500
900000,939305.8,211051284,2021,House,VIC,846183.8,12,795000
1200000,1222317,211041272,2021,House,VIC,1147700,12,1050000
1410000,1414443,211041273,2021,House,VIC,1363232,12,1280000
1081250,1124953,209011203,2021,House,VIC,984930.9,12,915000
612500,702069.6,209041224,2021,House,VIC,562427.4,12,526889
790000,920045.5,211051285,2021,House,VIC,880350.4,12,749975
1046500,1050255,211011259,2021,House,VIC,891845.1,12,799500
1186000,1202570,211011260,2021,House,VIC,1068074,12,1012500
1616250,1842117,211021262,2021,House,VIC,1831941,12,1525000
950000,976908.2,209011204,2021,House,VIC,826414.8,12,790000
995051,1069481,209031215,2021,House,VIC,1012771,12,890000
530000,558219.7,213051467,2021,House,VIC,540243.6,12,529500
675000,729857.9,213051368,2021,House,VIC,711958.8,12,639950
580000,617495.4,213051468,2021,House,VIC,556621.6,12,540000
930000,981108.3,213031351,2021,House,VIC,827967.8,12,790000
1370500,1511540,212051327,2021,House,VIC,1544771,12,1260000
650000,799566.2,209041225,2021,House,VIC,591528.6,12,547737.5
1585000,1728549,213021346,2021,House,VIC,1586989,12,1400000
630000,651267.3,209041437,2021,House,VIC,585020.1,12,580000
558500,563526.8,213051369,2021,House,VIC,521515.1,12,524650
1635000,1920213,206071145,2021,House,VIC,1639640,12,1550000
665000,723607.6,211051286,2021,House,VIC,702592.4,12,620000
1162500,1231692,213031352,2021,House,VIC,1109403,12,1050000
